IDS,SEXES,VIDEOS,PHOTOS,GIFTS,AUDIOS,FRIENDS,FOLLOWERS
22780,2,0,0,0,0,18,19
22786,1,209,597,55,831,287,1686
22788,2,6,16,278,0,7903,29094
22793,1,0,0,0,0,0,13
22795,2,69,318,1,136,14,128
22799,1,5,21,3,142,143,191
22801,1,0,53,19,128,263,328
22860,2,107,123,8,152,982,323
22867,2,9,4,2,83,155,40
22895,1,5,2,0,222,86,67
22897,2,96,1952,44,1018,611,345
22926,2,197,17,11,46,402,273
22961,1,2,536,5,0,138,262
22969,2,0,0,0,0,0,3
22997,1,383,643,43,0,219,3107
22998,2,27,1040,22,655,901,57
22999,1,25,557,17,171,254,287
23024,2,78,868,19,0,481,479
23029,2,49,386,16,0,313,154
23060,2,1028,964,21,2900,1895,383
23062,2,0,0,0,0,1,1
23065,2,14,2,3,230,132,75
23086,2,0,0,1,0,54,30
23114,1,22,43,2,29,148,146
23117,2,449,98,21,0,808,672
23118,2,0,26,46,5,449,31
23120,1,26,318,1,50,84,40
23174,1,55,807,45,469,1245,797
23177,1,12,933,24,157,393,577
23178,1,0,0,0,0,1,3
23179,2,50,29,20,371,411,1212
23211,2,190,137,4,895,125,85
23214,2,125,353,5,0,362,324
23238,2,61,0,3,213,399,409
23240,2,0,0,0,0,0,0
23246,2,1,227,9,2,331,54
23272,1,50,69,13,0,280,376
23273,1,24,625,65,0,327,1337
23274,2,7,9,5,0,109,20
23275,2,251,59,4,832,353,80
23296,2,2,34,7,60,354,201
23299,2,27,81,14,13,92,285
23300,2,0,0,1,0,8,28
23327,2,2,13,3,74,74,40
23358,1,9,808,25,277,245,428
23362,2,7,27,16,4,508,130
23365,2,0,0,0,0,0,18
23388,2,15,408,16,5,128,216
23389,2,0,2,13,17,72,62
23390,2,17,64,0,0,761,192
23392,2,28,253,42,22,349,770
23395,2,0,0,0,11,0,42
23424,2,4,21,2,0,148,494
23427,1,49,370,25,2226,181,961
23481,2,0,0,0,0,69,6
23486,1,1,1,0,0,8,35
23511,2,2839,102,20,1217,0,387
23516,1,62,531,25,335,871,1255
23517,2,0,0,0,0,1,3
23544,2,0,0,0,0,58,27
23546,2,1,0,1,101,1,9
23575,1,447,2579,10,1266,226,1466
23611,1,8,912,9,650,37,370
23612,2,138,312,17,607,1100,576
23616,2,0,123,3,144,311,117
23618,2,81,220,15,541,178,269
23645,2,0,36,4,0,193,154
23651,1,424,0,13,1650,168,209
23652,2,8,212,0,21,48,17
23683,2,0,0,0,0,0,4
23684,1,4,36,4,357,146,71
23685,2,0,1,0,0,0,8
23709,2,17,187,44,0,215,228
23710,1,6,707,6,61,323,224
23713,2,2707,2259,28,284,492,330
23739,2,53,217,16,188,113,24
23742,1,0,0,0,0,0,1
23743,1,4,81,2,143,177,221
23776,2,0,0,0,0,18,5
23803,2,0,0,0,0,0,1
23808,1,61,374,17,0,867,20
23809,2,0,0,0,0,0,4
23837,2,41,191,1,162,339,96
23838,1,0,0,0,0,17,7
23842,2,24,433,2,12,383,87
23864,1,28,729,2,127,110,115
23866,2,0,0,0,0,1,25
23867,2,0,428,0,56,310,68
23868,1,23,100,10,538,88,128
23894,2,35,151,30,42,620,616
23896,2,3,19,13,83,66,123
23900,1,2,3101,14,135,235,68
23923,1,0,0,0,0,1,9
23927,2,36,16,1,53,69,58
23952,2,0,2,1,26,111,57
23955,1,68,994,43,0,187,1749
23956,2,0,0,0,0,2,11
23957,2,0,0,0,0,1,11
23981,2,30,604,16,0,351,178
23982,1,235,597,17,596,159,523
24014,2,4,0,0,59,153,66
24016,1,15,33,7,0,201,97
24017,2,4,65,6,0,275,215
24044,2,0,0,0,0,0,1
24048,1,1,13,3,35,142,61
24049,2,0,0,0,0,0,3
24072,2,230,128,76,249,1305,1005
24104,2,38,320,9,0,352,287
24110,1,222,409,56,0,575,1596
24142,1,31,10,9,0,212,350
24143,1,85,889,18,0,299,1110
24171,1,107,880,75,0,1555,8509
24172,2,0,3,0,0,1,15
24174,1,281,1039,35,523,4942,7810
24178,1,129,64,34,1740,107,1575
24203,2,10088,386,41,10000,4564,7339
24205,2,54,161,28,346,313,4268
24211,2,217,13,4,90,142,74
24220,2,60,189,3,297,246,92
24222,1,49,176,45,862,1270,1893
24284,2,3,345,25,419,254,91
24285,1,0,0,0,0,0,3
24286,2,0,0,0,0,28,12
24351,2,53,47,12,1359,31,114
24352,2,34,92,9,230,262,6
24385,2,0,56,3,0,139,46
24415,1,58,519,138,0,373,1523
24419,2,18,2,0,29,406,44
24452,2,5,8,1,19,540,227
24454,1,68,723,36,248,322,131
24480,1,0,0,0,0,0,15
24485,1,39,117,11,0,199,584
24517,1,18,174,31,689,198,135
24522,1,66,224,50,794,320,796
24550,2,0,0,0,0,1,1
24583,2,0,2,6,0,193,80
24586,2,0,0,0,0,83,9
24588,1,6,80,13,19,195,285
24613,2,213,204,35,1443,524,1050
24620,1,0,279,21,28,760,1081
24638,1,0,14,15,77,36,61
24676,2,606,1167,41,0,395,1000
24702,2,48,163,31,140,170,234
24735,2,294,785,22,518,1331,684
24738,2,97,1182,12,499,312,336
24740,2,9,429,15,0,770,387
24767,1,143,288,15,1115,345,1155
24769,2,19,9,4,2,227,233
24771,2,31,684,12,183,152,145
24799,1,0,0,0,0,115,60
24803,1,2,95,4,15,78,139
24805,2,0,0,0,0,1,2
24828,1,0,285,86,63,152,636
24861,1,9,50,1,27,48,3
24863,2,3,1,0,56,127,206
24927,2,69,2,4,197,159,75
24931,1,52,713,6,0,443,319
24933,2,139,140,47,851,273,110
24966,2,55,1172,31,247,575,550
24968,1,45,1690,27,0,3585,2837
24994,1,17,48,18,68,255,274
25001,1,35,0,1,0,82,60
25025,1,44,91,37,0,565,908
25028,2,32,0,8,57,92,20
25033,2,5,9,7,66,83,115
25086,2,14,12,1,90,152,51
25090,2,0,0,0,0,1,4
25091,2,0,6,5,56,73,265
25124,2,153,352,24,0,293,140
25125,1,15,566,17,0,379,2243
25152,1,6,247,5,97,324,772
25155,2,0,0,2,13,153,21
25157,1,43,33,136,331,70,83
25221,2,62,63,16,154,658,158
25222,1,35,127,28,252,430,891
25224,2,7,76,7,133,455,119
25225,1,47,4,20,96,142,231
25227,2,70,218,32,455,425,1232
25253,1,24,655,23,0,175,712
25256,1,180,788,74,1081,70,624
25257,2,0,0,0,0,4,10
25284,2,0,0,0,0,0,14
25287,1,13,138,22,93,373,326
25314,2,0,0,0,2,62,1
25348,1,27,2467,60,0,153,6332
25349,2,60,938,16,497,899,353
25378,1,77,114,48,0,122,2722
25379,2,100,239,40,0,201,346
25411,2,93,8,7,278,416,263
25413,2,0,0,0,0,1,1
25414,1,144,216,229,1447,329,2116
25440,2,6,133,3,0,41,11
25497,1,177,1699,2,226,171,450
25504,2,4,0,4,0,72,26
25531,2,0,0,0,0,4,33
25537,1,202,914,5,1033,289,155
25562,1,1,253,4,8,565,224
25565,2,27,31,12,0,206,257
25601,1,395,1452,3,467,297,125
25633,2,0,0,0,0,0,1
